ref_area_label,cost_of_a_healthy_diet_ppp_dollar_per_person_per_day_ppp_ps_d,cost_of_animal_source_foods_ppp_ps_d,cost_of_fruits_ppp_ps_d,cost_of_legumes_nuts_and_seeds_ppp_ps_d,cost_of_oils_and_fats_ppp_ps_d,cost_of_starchy_staples_ppp_ps_d,cost_of_vegetables_ppp_ps_d,number_of_people_unable_to_afford_a_healthy_diet_million_ps,percentage_of_the_population_unable_to_afford_a_healthy_diet_percent_pt,cluster
Cameroon,3.41,1.6,0.27,0.3,0.18,0.66,0.39,14.7,54.5,2
Canada,3.52,0.95,0.91,0.31,0.07,0.39,0.88,1.2,3.0,0
Central African Republic,3.63,1.47,0.23,0.23,0.14,0.62,0.94,4.4,86.4,3
Chad,3.04,0.97,0.27,0.37,0.19,0.82,0.43,10.7,60.2,2
Chile,3.87,0.8,0.75,0.41,0.27,0.59,1.05,8.3,42.6,2
China,3.13,0.91,0.74,0.3,0.13,0.46,0.6,221.4,15.5,0
Colombia,3.3,0.87,0.53,0.3,0.23,0.56,0.8,19.6,38.3,1
Comoros,4.48,1.39,0.47,0.41,0.21,0.84,1.14,0.5,63.7,2
"Congo, Dem. Rep.",3.11,1.61,0.27,0.25,0.12,0.55,0.3,90.7,91.5,3
"Congo, Rep.",3.74,1.23,0.41,0.51,0.13,0.68,0.77,4.6,78.4,3
Costa Rica,3.7,0.95,0.58,0.43,0.13,0.75,0.86,0.8,16.1,0
Cote d'Ivoire,2.91,1.37,0.27,0.16,0.18,0.61,0.31,14.9,50.3,2
Croatia,3.71,1.05,0.76,0.34,0.09,0.57,0.88,0.6,15.4,0
Czechia,2.9,0.74,0.61,0.35,0.08,0.4,0.72,0.4,3.8,0
Djibouti,3.4,1.38,0.46,0.21,0.13,0.58,0.64,0.6,55.0,2
Dominican Republic,4.41,1.32,0.58,0.56,0.29,0.72,0.95,2.9,26.4,1
Ecuador,2.91,0.89,0.38,0.32,0.17,0.73,0.44,4.8,27.2,1
"Egypt, Arab Rep.",4.01,1.65,0.42,0.49,0.25,0.68,0.52,46.6,42.0,2
Estonia,3.34,0.74,0.64,0.71,0.08,0.35,0.81,0.1,5.2,0
Eswatini,3.62,1.32,0.32,0.35,0.25,0.55,0.82,0.8,65.3,2
Ethiopia,3.88,1.47,0.83,0.34,0.18,0.66,0.39,70.8,57.9,2
Fiji,3.81,1.09,0.68,0.33,0.19,0.54,0.99,0.6,66.6,2
France,2.96,0.56,0.86,0.26,0.07,0.29,0.92,2.1,3.1,0
Gabon,3.81,1.08,0.47,0.39,0.15,0.62,1.09,0.9,36.1,1
"Gambia, The",3.45,1.08,0.47,0.33,0.26,0.92,0.38,1.1,44.6,2
Germany,3.1,0.66,0.89,0.32,0.07,0.3,0.86,1.9,2.2,0
Ghana,3.5,1.44,0.25,0.39,0.27,0.69,0.46,20.7,63.5,2
Greece,3.25,0.9,0.66,0.33,0.13,0.43,0.8,2.2,21.1,1
Guatemala,4.01,1.22,0.47,0.47,0.43,0.78,0.64,8.6,48.8,2
Guinea,3.72,1.48,0.44,0.44,0.2,0.67,0.48,6.0,43.9,2
Guinea-Bissau,3.45,1.12,0.45,0.24,0.18,0.6,0.85,1.3,65.0,2
Honduras,3.81,1.05,0.79,0.35,0.26,0.59,0.77,4.0,39.3,1
Hungary,3.68,0.75,0.82,0.48,0.12,0.53,0.98,1.3,13.5,0
India,3.4,1.0,0.58,0.4,0.26,0.46,0.7,729.4,51.6,2
Indonesia,4.0,1.19,0.86,0.44,0.12,0.65,0.73,129.5,46.8,2
Iraq,3.42,1.29,0.54,0.33,0.14,0.58,0.53,12.0,27.8,1
Ireland,2.29,0.47,0.67,0.22,0.06,0.3,0.57,0.1,1.1,0
Israel,2.75,0.71,0.71,0.27,0.08,0.41,0.56,1.6,18.2,1
Italy,3.17,0.74,0.93,0.32,0.07,0.31,0.8,4.6,7.6,0
Jamaica,4.9,0.8,1.24,0.54,0.19,0.45,1.69,0.6,22.9,1
Japan,5.98,1.02,1.3,0.53,0.1,1.47,1.57,10.0,8.0,0
Jordan,2.99,0.87,0.58,0.3,0.11,0.57,0.55,1.5,13.2,0
Kazakhstan,2.59,0.69,0.64,0.24,0.18,0.54,0.3,1.0,5.1,0
Kenya,3.42,1.32,0.34,0.33,0.35,0.7,0.38,41.3,77.6,3
"Korea, Rep.",5.55,1.43,1.39,0.5,0.11,0.49,1.62,2.7,5.2,0
Kyrgyz Republic,3.36,0.83,0.9,0.35,0.2,0.6,0.48,2.5,36.7,1
Lao PDR,4.33,1.19,1.02,0.38,0.2,0.82,0.73,4.3,57.3,2
Latvia,3.55,0.92,0.81,0.36,0.13,0.48,0.85,0.3,14.2,0
Lebanon,3.71,1.3,0.74,0.51,0.3,0.44,0.41,0.1,2.2,0
Lesotho,4.31,1.33,0.64,0.49,0.32,0.57,0.96,1.7,76.8,3
Liberia,3.67,1.13,0.4,0.28,0.11,0.73,1.04,3.5,67.4,2
Lithuania,3.12,0.78,0.61,0.35,0.09,0.41,0.88,0.2,8.9,0
Madagascar,3.34,1.27,0.43,0.35,0.27,0.6,0.41,27.9,93.8,3
Malawi,3.43,1.36,0.37,0.31,0.3,0.68,0.42,17.7,88.3,3
Malaysia,3.52,0.84,0.88,0.34,0.14,0.58,0.73,1.0,2.9,0
Mali,3.16,1.33,0.35,0.26,0.18,0.58,0.47,12.9,57.7,2
Mauritania,4.43,1.17,0.92,0.57,0.22,0.65,0.9,2.7,56.1,2
Mauritius,3.77,0.98,0.49,0.34,0.14,0.56,1.26,0.2,17.5,1
Mexico,3.27,0.84,0.57,0.44,0.13,0.51,0.79,31.5,24.7,1
Moldova,3.08,0.84,0.81,0.23,0.17,0.59,0.44,0.3,10.2,0
Mongolia,5.55,0.88,2.5,0.52,0.22,0.53,0.9,0.8,22.5,1
Montenegro,3.63,0.88,0.69,0.47,0.15,0.57,0.88,0.1,12.6,0
Morocco,2.76,0.82,0.45,0.38,0.13,0.47,0.52,4.5,12.2,0
Mozambique,3.23,1.19,0.22,0.41,0.27,0.59,0.54,28.2,88.9,3
Namibia,3.75,1.03,0.66,0.25,0.18,0.67,0.95,1.7,59.6,2
Nepal,3.62,0.9,0.71,0.38,0.27,0.59,0.78,7.2,24.4,1
Netherlands,2.54,0.61,0.69,0.25,0.07,0.32,0.59,0.2,1.1,0
New Zealand,2.86,0.69,0.86,0.31,0.06,0.33,0.61,0.8,3.2,0
Nicaragua,4.06,1.23,0.54,0.33,0.2,0.88,0.89,1.8,27.3,1
Niger,4.02,1.7,0.81,0.29,0.2,0.49,0.53,21.3,87.0,3
Nigeria,3.76,1.09,0.37,0.27,0.16,1.07,0.8,169.3,77.5,3
North Macedonia,3.84,1.17,0.78,0.43,0.15,0.55,0.77,0.3,18.1,1
Norway,3.63,0.87,0.78,0.35,0.09,0.62,0.93,0.1,1.6,0
Pakistan,3.3,1.08,0.77,0.33,0.27,0.45,0.39,142.2,59.4,2
Panama,3.63,1.0,0.62,0.31,0.16,0.62,0.92,2.0,45.7,2
Paraguay,3.95,0.8,0.7,0.91,0.13,0.43,0.97,1.7,24.8,1
Peru,3.5,1.03,0.61,0.46,0.18,0.62,0.6,11.1,33.6,1
Philippines,3.73,0.77,0.74,0.36,0.19,0.66,0.99,56.3,49.8,2
Poland,3.35,0.78,0.63,0.41,0.11,0.4,1.03,3.0,8.0,0
Portugal,2.99,0.74,0.62,0.36,0.11,0.35,0.82,1.4,13.0,0
Romania,3.22,1.02,0.71,0.41,0.11,0.44,0.52,11.4,59.0,2
Russian Federation,2.77,0.68,0.65,0.3,0.16,0.43,0.55,2.0,1.4,0
Rwanda,3.31,1.47,0.41,0.23,0.24,0.64,0.33,9.9,74.1,3
Sao Tome and Principe,3.8,1.21,0.22,0.39,0.16,0.73,1.09,0.1,49.0,2
Senegal,3.04,1.08,0.3,0.32,0.2,0.53,0.63,8.2,47.6,2
Serbia,4.01,0.99,0.75,0.59,0.13,0.69,0.86,0.6,8.8,0
Sierra Leone,3.08,1.21,0.26,0.39,0.12,0.67,0.43,4.9,60.9,2
Slovak Republic,3.01,0.63,0.65,0.34,0.09,0.37,0.93,1.0,18.7,1
South Africa,3.14,1.0,0.61,0.29,0.09,0.52,0.63,37.6,61.1,2
South Sudan,3.9,1.46,0.4,0.45,0.2,0.71,0.69,10.0,91.9,3
Spain,2.94,0.68,0.84,0.23,0.08,0.31,0.8,4.4,9.3,0
Sri Lanka,4.27,1.05,1.01,0.25,0.44,0.55,0.97,8.5,37.5,1
Sudan,3.03,0.94,0.36,0.34,0.29,0.5,0.6,21.7,45.2,2
Suriname,5.44,1.13,1.07,0.95,0.22,0.62,1.45,0.2,25.7,1
Sweden,3.06,0.58,0.8,0.4,0.09,0.3,0.89,0.4,3.6,0
Switzerland,2.63,0.63,0.63,0.34,0.11,0.23,0.69,0.1,1.2,0
Syrian Arab Republic,5.01,1.82,0.83,0.61,0.48,0.92,0.36,11.4,52.5,2
"Taiwan, China",4.95,1.29,0.75,0.57,0.15,1.04,1.15,1.4,5.7,0
Tajikistan,3.53,0.94,0.84,0.26,0.25,0.73,0.51,3.0,29.8,1
Tanzania,2.79,1.07,0.17,0.31,0.34,0.68,0.21,46.8,74.5,3
Thailand,4.75,0.93,0.83,1.03,0.15,0.86,0.94,14.3,19.9,1
Togo,3.12,1.31,0.3,0.25,0.21,0.66,0.38,4.9,55.1,2
Trinidad and Tobago,4.43,0.91,1.19,0.39,0.18,0.68,1.08,0.6,38.6,1
Tunisia,3.97,1.15,1.17,0.58,0.18,0.29,0.6,0.9,7.3,0
Turkiye,3.8,1.13,0.96,0.42,0.19,0.51,0.6,8.3,9.6,0
Uganda,2.95,1.13,0.28,0.28,0.26,0.6,0.4,32.8,71.5,3
United Arab Emirates,2.66,0.92,0.45,0.32,0.24,0.42,0.3,0.3,2.6,0
United Kingdom,1.9,0.46,0.57,0.23,0.05,0.15,0.43,2.0,3.0,0
United States,2.36,0.56,0.53,0.17,0.06,0.29,0.74,8.5,2.5,0
Uruguay,3.65,0.87,0.9,0.53,0.12,0.49,0.74,1.3,37.6,1
Uzbekistan,4.06,1.11,1.03,0.38,0.23,0.84,0.47,5.5,16.1,0
Viet Nam,3.88,1.3,0.63,0.39,0.19,0.72,0.65,10.4,10.5,0
West Bank and Gaza,2.72,0.77,0.48,0.27,0.16,0.59,0.45,0.3,6.2,0
Zambia,3.28,1.06,0.36,0.39,0.22,0.94,0.31,15.9,81.3,3
