"ref_area_label","cost_of_a_healthy_diet_ppp_dollar_per_person_per_day_ppp_ps_d","cost_of_animal_source_foods_ppp_ps_d","cost_of_fruits_ppp_ps_d","cost_of_legumes_nuts_and_seeds_ppp_ps_d","cost_of_oils_and_fats_ppp_ps_d","cost_of_starchy_staples_ppp_ps_d","cost_of_vegetables_ppp_ps_d","number_of_people_unable_to_afford_a_healthy_diet_million_ps","percentage_of_the_population_unable_to_afford_a_healthy_diet_percent_pt"
"Lao PDR","4.33","1.19","1.02","0.38","0.2","0.82","0.73","4.3","57.3"
"Latvia","3.55","0.92","0.81","0.36","0.13","0.48","0.85","0.3","14.2"
"Lebanon","3.71","1.3","0.74","0.51","0.3","0.44","0.41","0.1","2.2"
"Lesotho","4.31","1.33","0.64","0.49","0.32","0.57","0.96","1.7","76.8"
"Liberia","3.67","1.13","0.4","0.28","0.11","0.73","1.04","3.5","67.4"
"Lithuania","3.12","0.78","0.61","0.35","0.09","0.41","0.88","0.2","8.9"
"Madagascar","3.34","1.27","0.43","0.35","0.27","0.6","0.41","27.9","93.8"
"Malawi","3.43","1.36","0.37","0.31","0.3","0.68","0.42","17.7","88.3"
"Malaysia","3.52","0.84","0.88","0.34","0.14","0.58","0.73","1.0","2.9"
"Mali","3.16","1.33","0.35","0.26","0.18","0.58","0.47","12.9","57.7"
"Mauritania","4.43","1.17","0.92","0.57","0.22","0.65","0.9","2.7","56.1"
"Mauritius","3.77","0.98","0.49","0.34","0.14","0.56","1.26","0.2","17.5"
"Mexico","3.27","0.84","0.57","0.44","0.13","0.51","0.79","31.5","24.7"
"Moldova","3.08","0.84","0.81","0.23","0.17","0.59","0.44","0.3","10.2"
"Mongolia","5.55","0.88","2.5","0.52","0.22","0.53","0.9","0.8","22.5"
"Montenegro","3.63","0.88","0.69","0.47","0.15","0.57","0.88","0.1","12.6"
"Morocco","2.76","0.82","0.45","0.38","0.13","0.47","0.52","4.5","12.2"
"Mozambique","3.23","1.19","0.22","0.41","0.27","0.59","0.54","28.2","88.9"
"Namibia","3.75","1.03","0.66","0.25","0.18","0.67","0.95","1.7","59.6"
"Nepal","3.62","0.9","0.71","0.38","0.27","0.59","0.78","7.2","24.4"
"Netherlands","2.54","0.61","0.69","0.25","0.07","0.32","0.59","0.2","1.1"
"New Zealand","2.86","0.69","0.86","0.31","0.06","0.33","0.61","0.8","3.2"
"Nicaragua","4.06","1.23","0.54","0.33","0.2","0.88","0.89","1.8","27.3"
"Niger","4.02","1.7","0.81","0.29","0.2","0.49","0.53","21.3","87.0"
"Nigeria","3.76","1.09","0.37","0.27","0.16","1.07","0.8","169.3","77.5"
"North Macedonia","3.84","1.17","0.78","0.43","0.15","0.55","0.77","0.3","18.1"
"Norway","3.63","0.87","0.78","0.35","0.09","0.62","0.93","0.1","1.6"
"Pakistan","3.3","1.08","0.77","0.33","0.27","0.45","0.39","142.2","59.4"
"Panama","3.63","1.0","0.62","0.31","0.16","0.62","0.92","2.0","45.7"
"Paraguay","3.95","0.8","0.7","0.91","0.13","0.43","0.97","1.7","24.8"
"Peru","3.5","1.03","0.61","0.46","0.18","0.62","0.6","11.1","33.6"
"Philippines","3.73","0.77","0.74","0.36","0.19","0.66","0.99","56.3","49.8"
"Poland","3.35","0.78","0.63","0.41","0.11","0.4","1.03","3.0","8.0"
"Portugal","2.99","0.74","0.62","0.36","0.11","0.35","0.82","1.4","13.0"
"Romania","3.22","1.02","0.71","0.41","0.11","0.44","0.52","11.4","59.0"
"Russian Federation","2.77","0.68","0.65","0.3","0.16","0.43","0.55","2.0","1.4"
"Rwanda","3.31","1.47","0.41","0.23","0.24","0.64","0.33","9.9","74.1"
"Sao Tome and Principe","3.8","1.21","0.22","0.39","0.16","0.73","1.09","0.1","49.0"
"Senegal","3.04","1.08","0.3","0.32","0.2","0.53","0.63","8.2","47.6"
"Serbia","4.01","0.99","0.75","0.59","0.13","0.69","0.86","0.6","8.8"
"Sierra Leone","3.08","1.21","0.26","0.39","0.12","0.67","0.43","4.9","60.9"
"Slovak Republic","3.01","0.63","0.65","0.34","0.09","0.37","0.93","1.0","18.7"
"South Africa","3.14","1.0","0.61","0.29","0.09","0.52","0.63","37.6","61.1"
"South Sudan","3.9","1.46","0.4","0.45","0.2","0.71","0.69","10.0","91.9"
"Spain","2.94","0.68","0.84","0.23","0.08","0.31","0.8","4.4","9.3"
"Sri Lanka","4.27","1.05","1.01","0.25","0.44","0.55","0.97","8.5","37.5"
"Sudan","3.03","0.94","0.36","0.34","0.29","0.5","0.6","21.7","45.2"
"Suriname","5.44","1.13","1.07","0.95","0.22","0.62","1.45","0.2","25.7"
"Sweden","3.06","0.58","0.8","0.4","0.09","0.3","0.89","0.4","3.6"
"Switzerland","2.63","0.63","0.63","0.34","0.11","0.23","0.69","0.1","1.2"
"Syrian Arab Republic","5.01","1.82","0.83","0.61","0.48","0.92","0.36","11.4","52.5"
"Taiwan, China","4.95","1.29","0.75","0.57","0.15","1.04","1.15","1.4","5.7"
"Tajikistan","3.53","0.94","0.84","0.26","0.25","0.73","0.51","3.0","29.8"
"Tanzania","2.79","1.07","0.17","0.31","0.34","0.68","0.21","46.8","74.5"
