FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,AGO,Angola,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,84.72,,,
A,Annual,AGO,Angola,FAO_CAHD_7010,Cost of vegetables,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.44,,,
A,Annual,AGO,Angola,FAO_CAHD_7010,Cost of vegetables,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,89.17,,,
A,Annual,AGO,Angola,FAO_CAHD_7011,Cost of fruits,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.75,,,
A,Annual,AGO,Angola,FAO_CAHD_7011,Cost of fruits,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,152.35,,,
A,Annual,AGO,Angola,FAO_CAHD_7012,Cost of oils and fats,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.21,,,
A,Annual,AGO,Angola,FAO_CAHD_7012,Cost of oils and fats,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,41.79,,,
A,Annual,ALB,Albania,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.04,3.13,3.32,3.4,3.49,4.14,4.58,4.77
A,Annual,ALB,Albania,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,160.41,164.71,169.51,175.63,182.48,203.92,223.17,230.79
A,Annual,ALB,Albania,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),PT,Percentage,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,24.3,17.6,14.6,13.9,12.6,11.7,11.4,10.7
A,Annual,ALB,Albania,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),PS,Persons,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,A,Normal value,PU,Public,0.7,0.5,0.4,0.4,0.4,0.3,0.3,0.3
A,Annual,ALB,Albania,FAO_CAHD_7007,Cost of starchy staples,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.47,,,
A,Annual,ALB,Albania,FAO_CAHD_7007,Cost of starchy staples,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,24.81,,,
A,Annual,ALB,Albania,FAO_CAHD_7008,Cost of animal source foods,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.13,,,
A,Annual,ALB,Albania,FAO_CAHD_7008,Cost of animal source foods,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,59.08,,,
A,Annual,ALB,Albania,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.41,,,
A,Annual,ALB,Albania,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,21.57,,,
A,Annual,ALB,Albania,FAO_CAHD_7010,Cost of vegetables,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.6,,,
A,Annual,ALB,Albania,FAO_CAHD_7010,Cost of vegetables,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,31.19,,,
A,Annual,ALB,Albania,FAO_CAHD_7011,Cost of fruits,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.77,,,
A,Annual,ALB,Albania,FAO_CAHD_7011,Cost of fruits,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,40.1,,,
A,Annual,ALB,Albania,FAO_CAHD_7012,Cost of oils and fats,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.11,,,
A,Annual,ALB,Albania,FAO_CAHD_7012,Cost of oils and fats,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,5.72,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.46,2.74,2.87,2.85,2.66,2.93,3.11,3.22
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,6.87,7.12,7.02,7.28,7.26,7.78,8.07,8.26
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),PT,Percentage,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.2,2.5,2.1,2.8,2.6,2.4,2.3,2.2
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),PS,Persons,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,A,Normal value,PU,Public,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7007,Cost of starchy staples,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.42,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7007,Cost of starchy staples,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.15,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7008,Cost of animal source foods,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.92,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7008,Cost of animal source foods,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,2.52,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.32,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.88,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7010,Cost of vegetables,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.3,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7010,Cost of vegetables,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.82,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7011,Cost of fruits,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.45,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7011,Cost of fruits,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.23,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7012,Cost of oils and fats,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.24,,,
A,Annual,ARE,United Arab Emirates,FAO_CAHD_7012,Cost of oils and fats,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.67,,,
A,Annual,ARG,Argentina,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.26,,,,,,,
A,Annual,ARG,Argentina,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,36.09,,,,,,,
A,Annual,ARG,Argentina,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),PT,Percentage,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,8.5,,,,,,,
A,Annual,ARG,Argentina,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),PS,Persons,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,A,Normal value,PU,Public,3.8,,,,,,,
A,Annual,ARM,Armenia,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.22,3.31,3.44,3.54,3.8,4.27,4.33,4.35
A,Annual,ARM,Armenia,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,536.78,549.33,559.37,561.12,624.4,705.33,701.23,685.1
A,Annual,ARM,Armenia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),PT,Percentage,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,49.4,49.7,53.3,53.9,54.4,55.1,50.3,65.1
A,Annual,ARM,Armenia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),PS,Persons,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,A,Normal value,PU,Public,1.4,1.4,1.5,1.6,1.6,1.6,1.5,1.9
A,Annual,ARM,Armenia,FAO_CAHD_7007,Cost of starchy staples,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.59,,,
A,Annual,ARM,Armenia,FAO_CAHD_7007,Cost of starchy staples,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,96.92,,,
A,Annual,ARM,Armenia,FAO_CAHD_7008,Cost of animal source foods,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.04,,,
A,Annual,ARM,Armenia,FAO_CAHD_7008,Cost of animal source foods,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,170.36,,,
A,Annual,ARM,Armenia,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.4,,,
A,Annual,ARM,Armenia,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,66.01,,,
A,Annual,ARM,Armenia,FAO_CAHD_7010,Cost of vegetables,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.6,,,
A,Annual,ARM,Armenia,FAO_CAHD_7010,Cost of vegetables,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,99.14,,,
A,Annual,ARM,Armenia,FAO_CAHD_7011,Cost of fruits,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.92,,,
A,Annual,ARM,Armenia,FAO_CAHD_7011,Cost of fruits,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,150.59,,,
A,Annual,ARM,Armenia,FAO_CAHD_7012,Cost of oils and fats,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.25,,,
A,Annual,ARM,Armenia,FAO_CAHD_7012,Cost of oils and fats,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,41.37,,,
